model,n,MAE,RMSE,MASE,Bias
feature_restricted_24,336,38.55793195223329,65.75604074036733,0.7226142878318363,-4.368906247546774
feature_direct,336,38.58462148885768,65.27228117241404,0.7231144764966301,-3.947367318175815
feature_recursive,336,37.483772258026434,61.08217675652225,0.7024834586315428,0.20756272849370255
feature_cov_lagged,336,40.12060643527155,64.93191518220043,0.7519003737679953,-2.0186887148863972
feature_cov_realised,336,45.977224485077926,68.20671339266596,0.8616592655676576,9.265418747989168
