p,d,q,P,D,Q,s,n_params,nobs,aic,bic,hqic,converged,seconds,error
1,0,1,1,1,1,24,5,2929,32221.667673990243,32257.50867377439,32234.581156454573,True,4.441885232925415,
1,0,2,1,1,1,24,6,2929,32194.860962220555,32236.673050254663,32209.92608681685,True,5.769849061965942,
1,0,3,1,1,1,24,7,2929,32184.873233661507,32232.65571993448,32202.08982728004,True,6.067326545715332,
1,0,4,1,1,1,24,8,2929,32176.78869915617,32230.540893299945,32196.15658858644,True,8.694894313812256,
1,0,5,1,1,1,24,9,2929,32167.089132668283,32226.8103439575,32188.60814459889,True,9.475477695465088,
1,0,6,1,1,1,24,10,2929,32158.615243831984,32224.30478118367,32182.28520485056,True,12.154090404510498,
1,1,0,1,1,1,24,3,2928,32631.54358652789,32655.437586383992,32640.152574837444,True,1.9521706104278564,
1,1,1,1,1,1,24,4,2928,32366.47916784536,32396.34494501258,32377.239971128423,True,6.087743759155273,
1,1,2,1,1,1,24,5,2928,32216.09127582504,32251.92814052977,32229.00372103894,True,10.75594925880432,
1,1,3,1,1,1,24,6,2928,32188.65467819124,32230.461940303063,32203.71859219256,True,6.816859245300293,
1,1,4,1,1,1,24,7,2928,32179.13384035327,32226.910809384644,32196.34904989776,True,15.982249736785889,
1,1,5,1,1,1,24,8,2928,32171.05094213816,32224.79692724409,32190.41727388063,False,19.18874168395996,
1,1,6,1,1,1,24,9,2928,32161.404890598475,32221.11920057617,32182.922171092705,False,22.28173780441284,
1,2,0,1,1,1,24,3,2927,34522.69612441065,34546.58874614443,34531.3047670371,True,1.8177614212036133,
1,2,1,1,1,1,24,4,2927,32625.41836929408,32655.28242321469,32636.178740305662,True,4.259839773178101,
1,2,2,1,1,1,24,5,2927,32374.982152529457,32410.816948625303,32387.8940788163,True,8.698297500610352,
1,2,3,1,1,1,24,6,2927,32451.81192524397,32493.616773146423,32466.8752335954,True,6.267502546310425,
1,2,4,1,1,1,24,7,2927,32337.15049383531,32384.92470281836,32354.365010939728,False,17.461175441741943,
1,2,5,1,1,1,24,8,2927,32293.874628901114,32347.61750788104,32313.24018134592,True,20.484260082244877,
1,2,6,1,1,1,24,9,2927,32240.89907431099,32300.609931846047,32262.41548858248,True,24.27627944946289,
2,0,0,1,1,1,24,5,2929,32204.273112264047,32240.114112048195,32217.186594728377,True,3.808912754058838,
2,0,1,1,1,1,24,6,2929,32205.129433170347,32246.94393291852,32220.19516271206,True,6.216854810714722,
2,0,2,1,1,1,24,7,2929,32195.372389266955,32243.157632734506,32212.58967451986,True,8.001351356506348,
2,0,3,1,1,1,24,8,2929,32186.965763357883,32240.721060414977,32206.33443117873,True,6.264300584793091,
2,0,4,1,1,1,24,9,2929,32178.804384238145,32238.529044397892,32200.324261382884,True,8.047011375427246,
2,0,5,1,1,1,24,10,2929,32168.75469890624,32234.448031324377,32192.425612029907,True,15.74015212059021,
2,0,6,1,1,1,24,11,2929,32160.445850799835,32232.107164274403,32186.26762645646,True,11.966988325119019,
2,1,0,1,1,1,24,4,2928,32554.49182177479,32584.357598942013,32565.252625057856,True,3.204697847366333,
2,1,1,1,1,1,24,5,2928,32207.958232361474,32243.79716496214,32220.871196301152,True,4.936952590942383,
2,1,2,1,1,1,24,6,2928,32197.205616077204,32239.015291566055,32212.270135493418,True,7.261282444000244,
2,1,3,1,1,1,24,7,2928,32188.838019523886,32236.617747651682,32206.053921239676,True,14.40501618385315,
2,1,4,1,1,1,24,8,2928,32181.480081823516,32235.22917198381,32200.84719256106,True,17.71190595626831,
2,1,5,1,1,1,24,9,2928,32171.71552257211,32231.433283800918,32193.23366895263,False,20.50970959663391,
2,1,6,1,1,1,24,10,2928,32162.554316699083,32228.240057674546,32186.223325242736,True,23.579575777053833,
2,2,0,1,1,1,24,4,2927,33904.450723165384,33934.314777085994,33915.211094176964,True,2.5570321083068848,
2,2,1,1,1,1,24,5,2927,32559.88557827056,32595.72244297529,32572.798023484458,True,4.935377359390259,
2,2,2,1,1,1,24,6,2927,32214.918875109215,32256.726137221038,32229.98278911053,True,25.403254747390747,
2,2,3,1,1,1,24,7,2927,32355.4121190688,32403.18908810017,32372.627328613285,False,27.256285667419434,
2,2,4,1,1,1,24,8,2927,32230.685273108622,32284.431258214547,32250.05160485109,False,29.273531198501587,
2,2,5,1,1,1,24,9,2927,32260.938832386062,32320.653142363757,32282.456112880292,False,30.010257244110107,
2,2,6,1,1,1,24,10,2927,32287.604570356816,32353.286513645377,32311.272626055455,False,23.835399866104126,
3,0,0,1,1,1,24,6,2929,32193.489137303197,32235.301225337305,32208.554261899488,True,4.410238027572632,
3,0,1,1,1,1,24,7,2929,32195.337332919764,32243.122576387315,32212.554618172668,True,8.954524040222168,
3,0,2,1,1,1,24,8,2929,32197.6971960129,32251.4555949139,32217.066641922418,True,12.626494884490967,
3,0,3,1,1,1,24,9,2929,32188.570254013743,32248.298361854955,32210.090996036906,True,10.910302639007568,
3,0,4,1,1,1,24,10,2929,32180.247866086116,32245.944992261837,32203.91973094533,True,16.979031801223755,
3,0,5,1,1,1,24,11,2929,32170.614837674366,32242.280291221425,32196.437651991095,True,15.090846300125122,
3,0,6,1,1,1,24,12,2929,32162.208377840365,32239.841467437815,32190.181968135043,True,21.745858907699585,
3,1,0,1,1,1,24,5,2928,32508.492525349313,32544.32939005404,32521.40497056321,True,3.4237239360809326,
3,1,1,1,1,1,24,6,2928,32197.145470046904,32238.955145535754,32212.209989463117,True,10.581413269042969,
3,1,2,1,1,1,24,7,2928,32199.229150635925,32247.011636908897,32216.445744254455,True,7.487910747528076,
3,1,3,1,1,1,24,8,2928,32189.68663142381,32243.43882556758,32209.054520854075,True,15.73179006576538,
3,1,4,1,1,1,24,9,2928,32180.974470197034,32240.69568148625,32202.49348212764,True,17.921650171279907,
3,1,5,1,1,1,24,10,2928,32172.546488339485,32238.23602569117,32196.216449358057,False,23.802440881729126,
3,1,6,1,1,1,24,11,2928,32164.84774650733,32236.50491848056,32190.66848310041,True,14.861444473266602,
3,2,0,1,1,1,24,5,2927,33608.680609651696,33644.515405747545,33621.59253593854,True,3.7712044715881348,
3,2,1,1,1,1,24,6,2927,32513.856265409726,32555.66352752155,32528.92017941104,True,6.124647855758667,
3,2,2,1,1,1,24,7,2927,32347.233373919815,32395.01310204761,32364.449275635605,False,19.006319284439087,
3,2,3,1,1,1,24,8,2927,32264.075737861946,32317.82482802224,32283.44284859949,False,35.82162880897522,
